epoch,loss,acc
1,3.192326545715332,0.1719990074634552
2,2.1983163356781006,0.3757983148097992
3,1.7857346534729004,0.4787868857383728
4,1.6054564714431763,0.525692880153656
5,1.467989206314087,0.5503549575805664
6,1.3856227397918701,0.5636393427848816
7,1.324283242225647,0.5788535475730896
8,1.2700729370117188,0.5924169421195984
9,1.2252675294876099,0.6053137183189392
10,1.1881874799728394,0.61508709192276
11,1.154050588607788,0.624395489692688
12,1.1196023225784302,0.6345176100730896
13,1.0901581048965454,0.6428571343421936
14,1.060608983039856,0.6525840163230896
15,1.0289626121520996,0.6640470027923584
16,1.002543568611145,0.6719990372657776
17,0.976911187171936,0.6805322766304016
18,0.9493857622146606,0.689755380153656
19,0.9243068099021912,0.6970176100730896
20,0.9007930159568787,0.7059617042541504
21,0.8772382140159607,0.712030291557312
22,0.8535870313644409,0.7199590802192688
23,0.8316963911056519,0.7288798689842224
24,0.8093571066856384,0.7347392439842224
25,0.7876908779144287,0.7406219244003296
26,0.7670726180076599,0.7484266757965088
27,0.7489122748374939,0.7536504864692688
28,0.7284002304077148,0.7610599398612976
29,0.710270881652832,0.7664077877998352
30,0.6937775015830994,0.771709144115448
31,0.6780858039855957,0.7766849398612976
32,0.6596022248268127,0.7828853726387024
33,0.6445457339286804,0.7877216935157776
34,0.6296064853668213,0.793046236038208
35,0.6117004752159119,0.7991923689842224
36,0.5955703258514404,0.8048115372657776
37,0.5821642279624939,0.8083069920539856
38,0.5706052184104919,0.8117714524269104
39,0.5584266185760498,0.8160109519958496
40,0.5465601086616516,0.81948322057724
41,0.5372852683067322,0.8226841688156128
42,0.5237159132957458,0.8275126814842224
43,0.5119924545288086,0.8316049575805664
44,0.5019136071205139,0.8337053656578064
45,0.48998188972473145,0.83823162317276
46,0.4766663908958435,0.8426339030265808
47,0.4713521897792816,0.843711256980896
48,0.4613025486469269,0.8466641902923584
49,0.4504580795764923,0.8507642149925232
50,0.44291600584983826,0.8545851707458496
51,0.432464599609375,0.8571273684501648
52,0.4257424771785736,0.8581969141960144
53,0.4172345697879791,0.8610413670539856
54,0.4122948944568634,0.8622581958770752
55,0.40543559193611145,0.8654746413230896
56,0.39468568563461304,0.8688848614692688
57,0.39278024435043335,0.86948162317276
58,0.3895684778690338,0.8708224892616272
59,0.3803830146789551,0.8740311861038208
60,0.3713933527469635,0.8762090802192688
61,0.36531028151512146,0.877627432346344
62,0.36015045642852783,0.8794410228729248
63,0.3598214089870453,0.8803168535232544
64,0.35081934928894043,0.8836960792541504
65,0.3487323522567749,0.8835487961769104
66,0.339415580034256,0.8878503441810608
67,0.335862934589386,0.887920081615448
68,0.3308292031288147,0.8896794319152832
69,0.32831239700317383,0.8903304934501648
70,0.32305672764778137,0.8925471305847168
71,0.3208822011947632,0.8936864733695984
72,0.31382888555526733,0.8948799967765808
73,0.3127076029777527,0.8951435685157776
74,0.3097294569015503,0.8962828516960144
75,0.3073800802230835,0.8979802131652832
76,0.3044155240058899,0.898398756980896
77,0.29895228147506714,0.9001348614692688
78,0.3005782663822174,0.8992745280265808
79,0.29445117712020874,0.9012354016304016
80,0.2915681302547455,0.9025995135307312
81,0.28443166613578796,0.905389666557312
82,0.28604573011398315,0.904707670211792
83,0.2830902636051178,0.9048084020614624
84,0.27697956562042236,0.9080713391304016
85,0.27631956338882446,0.907792329788208
86,0.2714967429637909,0.9093347191810608
87,0.27596086263656616,0.907342791557312
88,0.2727665305137634,0.9081566333770752
89,0.2729039490222931,0.9081798791885376
90,0.267544686794281,0.9103655219078064
91,0.2643214762210846,0.9120163917541504
92,0.26530686020851135,0.9110708236694336
93,0.2615571916103363,0.9135664701461792
94,0.2586265802383423,0.9146748185157776
95,0.2604859173297882,0.9136284589767456
96,0.25728639960289,0.914326012134552
97,0.256442666053772,0.9147910475730896
98,0.2530609369277954,0.9152173399925232
99,0.25086864829063416,0.915713369846344
100,0.25300711393356323,0.9149693250656128
